3.1	1	50.05	1	1	3.035	5.278	4.683
3.1	1	50.05	1	10	3.065	5.309	4.706
3.1	1	50.05	1	20	3.041	5.284	4.687
3.1	1	50.05	1	30	3	5.242	4.656
3.1	2	50.05	1	40	5.154	6.803	6.764
3.1	2	50.05	1	50	5.178	6.828	6.783
3.1	2	50.05	1	60	5.18	6.83	6.784
4	1	30	10	1	3.523	4.256	3.843
4	1	30	10	10	3.731	4.469	3.999
4	1	30	10	20	3.612	4.348	3.91
4	1	30	10	30	3.386	4.116	3.739
4	2	30	10	40	5.557	5.694	5.476
4	2	30	10	50	5.683	5.824	5.571
4	2	30	10	60	5.638	5.777	5.537
5	1	20	20	1	4.065	3.918	3.584
5	1	20	20	10	4.484	4.348	3.901
5	1	20	20	20	4.34	4.2	3.792
5	1	20	20	30	4.012	3.864	3.544
5	2	20	20	40	6.242	5.503	5.134
5	2	20	20	50	6.413	5.678	5.264
5	2	20	20	60	6.173	5.433	5.082
6	1	14.174	30	1	4.573	3.816	3.53
6	1	14.174	30	10	5.05	4.306	3.891
6	1	14.174	30	20	4.811	4.06	3.71
6	1	14.174	30	30	4.397	3.636	3.397
6	2	14.174	30	40	6.722	5.372	4.947
6	2	14.174	30	50	7.002	5.66	5.159
6	2	14.174	30	60	6.686	5.335	4.92
7	1	11.01	40	1	5.046	3.851	3.595
7	1	11.01	40	10	5.413	4.228	3.873
7	1	11.01	40	20	4.951	3.754	3.524
7	1	11.01	40	30	4.365	3.152	3.081
7	2	11.01	40	40	6.746	4.946	4.613
7	2	11.01	40	50	7.243	5.457	4.989
7	2	11.01	40	60	7.14	5.351	4.911
8	1	10	50	1	5.534	4.041	3.791
8	1	10	50	10	5.881	4.398	4.054
8	1	10	50	20	5.304	3.806	3.618
8	1	10	50	30	4.574	3.056	3.065
8	2	10	50	40	6.913	4.807	4.546
8	2	10	50	50	7.512	5.422	4.999
8	2	10	50	60	7.593	5.505	5.06
9	1	11.01	60	1	6.041	4.383	4.112
9	1	11.01	60	10	6.5	4.854	4.46
9	1	11.01	60	20	6.048	4.39	4.118
9	1	11.01	60	30	5.381	3.705	3.613
9	2	11.01	60	40	7.673	5.408	5.078
9	2	11.01	60	50	8.151	5.899	5.439
9	2	11.01	60	60	8.101	5.848	5.402
10	1	14.174	70	1	6.495	4.81	4.512
10	1	14.174	70	10	6.848	5.172	4.779
10	1	14.174	70	20	6.517	4.832	4.528
10	1	14.174	70	30	6.095	4.399	4.21
10	2	14.174	70	40	8.488	6.206	5.812
10	2	14.174	70	50	8.862	6.589	6.094
10	2	14.174	70	60	8.622	6.343	5.913
11	1	20	80	1	6.88	5.338	5.006
11	1	20	80	10	6.803	5.26	4.948
11	1	20	80	20	6.411	4.857	4.651
11	1	20	80	30	6.231	4.672	4.515
11	2	20	80	40	8.811	6.67	6.37
11	2	20	80	50	9.251	7.123	6.703
11	2	20	80	60	9.091	6.958	6.582
12	1	30	90	1	7.301	6.175	5.757
12	1	30	90	10	6.963	5.828	5.501
12	1	30	90	20	6.578	5.433	5.21
12	1	30	90	30	6.525	5.378	5.17
12	2	30	90	40	9.091	7.363	7.205
12	2	30	90	50	9.509	7.792	7.522
12	2	30	90	60	9.533	7.816	7.54
13	1	60	100	1	7.832	8.424	7.691
13	1	60	100	10	7.756	8.347	7.634
13	1	60	100	20	7.684	8.272	7.579
13	1	60	100	30	7.679	8.267	7.575
13	2	60	100	40	9.906	9.903	9.929
13	2	60	100	50	9.983	9.983	9.987
13	2	60	100	60	9.999	9.999	9.999
